case_id,part_id,part_type,line,activity,area,resource,timestamp,duration_minutes
WO-0248,PART-7049,Bracket,Line-A,Cutting,CUT,Laser-01,2024-06-01 00:27:00,42
WO-0248,PART-7049,Bracket,Line-A,CNC Machining,CNC,CNC-12,2024-06-01 01:20:00,33
WO-0161,PART-8875,Rotor,Line-A,Cutting,CUT,Laser-02,2024-06-01 01:29:00,27
WO-0049,PART-6383,Pump Housing,Line-C,Cutting,CUT,Laser-02,2024-06-01 01:32:00,28
WO-0161,PART-8875,Rotor,Line-A,CNC Machining,CNC,CNC-19,2024-06-01 02:02:00,41
WO-0049,PART-6383,Pump Housing,Line-C,CNC Machining,CNC,CNC-19,2024-06-01 02:07:00,44
WO-0248,PART-7049,Bracket,Line-A,Surface Prep,PREP,Prep-03,2024-06-01 02:08:00,37
WO-0168,PART-9260,Pump Housing,Line-B,Cutting,CUT,Laser-02,2024-06-01 02:22:00,47
WO-0161,PART-8875,Rotor,Line-A,Surface Prep,PREP,Prep-01,2024-06-01 02:47:00,38
WO-0049,PART-6383,Pump Housing,Line-C,Surface Prep,PREP,Prep-01,2024-06-01 02:53:00,19
WO-0248,PART-7049,Bracket,Line-A,Assembly,ASM,Cell-04,2024-06-01 03:07:00,80
WO-0049,PART-6383,Pump Housing,Line-C,Assembly,ASM,Cell-01,2024-06-01 03:25:00,141
WO-0168,PART-9260,Pump Housing,Line-B,CNC Machining,CNC,CNC-19,2024-06-01 03:27:00,52
WO-0161,PART-8875,Rotor,Line-A,Assembly,ASM,Cell-01,2024-06-01 03:35:00,122
WO-0168,PART-9260,Pump Housing,Line-B,Surface Prep,PREP,Prep-01,2024-06-01 04:39:00,20
WO-0248,PART-7049,Bracket,Line-A,Quality Check,QC,QA-05,2024-06-01 04:41:00,45
WO-0168,PART-9260,Pump Housing,Line-B,Assembly,ASM,Cell-04,2024-06-01 05:04:00,89
WO-0248,PART-7049,Bracket,Line-A,Packaging,PKG,Pack-01,2024-06-01 05:41:00,27
WO-0161,PART-8875,Rotor,Line-A,Assembly Rework,ASM,Cell-02,2024-06-01 05:53:00,43
WO-0049,PART-6383,Pump Housing,Line-C,Assembly Rework,ASM,Cell-01,2024-06-01 06:06:00,45
WO-0101,PART-9719,Bracket,Line-B,Cutting,CUT,Laser-02,2024-06-01 06:28:00,54
WO-0281,PART-7056,Manifold,Line-B,Cutting,CUT,Laser-01,2024-06-01 06:39:00,48
WO-0161,PART-8875,Rotor,Line-A,Quality Check,QC,QA-02,2024-06-01 06:52:00,23
WO-0168,PART-9260,Pump Housing,Line-B,Quality Check,QC,QA-05,2024-06-01 06:54:00,58
WO-0248,PART-7049,Bracket,Line-A,Shipment,SHIP,Dock-01,2024-06-01 06:58:00,0
WO-0049,PART-6383,Pump Housing,Line-C,Quality Check,QC,QA-02,2024-06-01 06:58:00,36
WO-0161,PART-8875,Rotor,Line-A,Packaging,PKG,Pack-02,2024-06-01 07:22:00,11
WO-0101,PART-9719,Bracket,Line-B,CNC Machining,CNC,CNC-19,2024-06-01 07:24:00,94
WO-0281,PART-7056,Manifold,Line-B,CNC Machining,CNC,CNC-19,2024-06-01 07:35:00,86
WO-0049,PART-6383,Pump Housing,Line-C,Packaging,PKG,Pack-01,2024-06-01 07:40:00,23
WO-0161,PART-8875,Rotor,Line-A,Manual Repair,ASM,Cell-02,2024-06-01 07:46:00,116
WO-0168,PART-9260,Pump Housing,Line-B,Packaging,PKG,Pack-02,2024-06-01 08:10:00,22
WO-0049,PART-6383,Pump Housing,Line-C,Material Hold,HOLD,Planner,2024-06-01 08:28:00,349
WO-0168,PART-9260,Pump Housing,Line-B,Manual Repair,ASM,Cell-01,2024-06-01 08:53:00,118
WO-0281,PART-7056,Manifold,Line-B,Surface Prep,PREP,Prep-03,2024-06-01 09:16:00,40
WO-0101,PART-9719,Bracket,Line-B,Surface Prep,PREP,Prep-01,2024-06-01 09:21:00,28
WO-0101,PART-9719,Bracket,Line-B,Assembly,ASM,Cell-04,2024-06-01 09:54:00,52
WO-0281,PART-7056,Manifold,Line-B,Assembly,ASM,Cell-04,2024-06-01 10:07:00,60
WO-0161,PART-8875,Rotor,Line-A,Shipment,SHIP,Dock-01,2024-06-01 10:19:00,0
WO-0101,PART-9719,Bracket,Line-B,Assembly Rework,ASM,Cell-01,2024-06-01 10:52:00,40
WO-0068,PART-9312,Bracket,Line-C,Cutting,CUT,Laser-02,2024-06-01 11:06:00,60
WO-0281,PART-7056,Manifold,Line-B,Assembly Rework,ASM,Cell-02,2024-06-01 11:22:00,71
WO-0057,PART-5743,Valve Body,Line-B,Cutting,CUT,Laser-02,2024-06-01 11:23:00,59
WO-0101,PART-9719,Bracket,Line-B,Quality Check,QC,QA-05,2024-06-01 11:53:00,53
WO-0168,PART-9260,Pump Housing,Line-B,Shipment,SHIP,Dock-01,2024-06-01 11:54:00,0
WO-0068,PART-9312,Bracket,Line-C,CNC Machining,CNC,CNC-19,2024-06-01 12:19:00,62
WO-0281,PART-7056,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-01 12:39:00,57
WO-0057,PART-5743,Valve Body,Line-B,CNC Machining,CNC,CNC-12,2024-06-01 12:46:00,76
WO-0101,PART-9719,Bracket,Line-B,Packaging,PKG,Pack-02,2024-06-01 12:59:00,18
WO-0068,PART-9312,Bracket,Line-C,Surface Prep,PREP,Prep-01,2024-06-01 13:23:00,26
WO-0281,PART-7056,Manifold,Line-B,Packaging,PKG,Pack-02,2024-06-01 13:42:00,16
WO-0068,PART-9312,Bracket,Line-C,Assembly,ASM,Cell-04,2024-06-01 14:02:00,70
WO-0057,PART-5743,Valve Body,Line-B,Surface Prep,PREP,Prep-01,2024-06-01 14:17:00,42
WO-0101,PART-9719,Bracket,Line-B,Shipment,SHIP,Dock-01,2024-06-01 14:22:00,0
WO-0057,PART-5743,Valve Body,Line-B,Assembly,ASM,Cell-04,2024-06-01 15:08:00,95
WO-0049,PART-6383,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-01 15:13:00,0
WO-0138,PART-6210,Rotor,Line-C,Cutting,CUT,Laser-01,2024-06-01 15:24:00,56
WO-0281,PART-7056,Manifold,Line-B,Shipment,SHIP,Dock-01,2024-06-01 15:32:00,0
WO-0068,PART-9312,Bracket,Line-C,Quality Check,QC,QA-02,2024-06-01 15:35:00,60
WO-0138,PART-6210,Rotor,Line-C,CNC Machining,CNC,CNC-15,2024-06-01 16:40:00,54
WO-0068,PART-9312,Bracket,Line-C,Packaging,PKG,Pack-01,2024-06-01 16:55:00,20
WO-0057,PART-5743,Valve Body,Line-B,Quality Check,QC,QA-02,2024-06-01 16:57:00,53
WO-0138,PART-6210,Rotor,Line-C,Surface Prep,PREP,Prep-01,2024-06-01 17:53:00,24
WO-0057,PART-5743,Valve Body,Line-B,Packaging,PKG,Pack-02,2024-06-01 18:04:00,19
WO-0068,PART-9312,Bracket,Line-C,Shipment,SHIP,Dock-01,2024-06-01 18:11:00,0
WO-0138,PART-6210,Rotor,Line-C,Assembly,ASM,Cell-01,2024-06-01 18:34:00,44
WO-0057,PART-5743,Valve Body,Line-B,Shipment,SHIP,Dock-01,2024-06-01 19:03:00,0
WO-0138,PART-6210,Rotor,Line-C,Quality Check,QC,QA-02,2024-06-01 19:21:00,34
WO-0087,PART-3868,Manifold,Line-A,Cutting,CUT,Laser-01,2024-06-01 19:50:00,51
WO-0138,PART-6210,Rotor,Line-C,Packaging,PKG,Pack-02,2024-06-01 19:57:00,26
WO-0087,PART-3868,Manifold,Line-A,CNC Machining,CNC,CNC-12,2024-06-01 21:06:00,67
WO-0261,PART-4327,Pump Housing,Line-C,Cutting,CUT,Laser-02,2024-06-01 21:28:00,39
WO-0138,PART-6210,Rotor,Line-C,Shipment,SHIP,Dock-01,2024-06-01 21:53:00,0
WO-0261,PART-4327,Pump Housing,Line-C,CNC Machining,CNC,CNC-19,2024-06-01 22:12:00,110
WO-0087,PART-3868,Manifold,Line-A,Surface Prep,PREP,Prep-01,2024-06-01 22:15:00,24
WO-0278,PART-3641,Pump Housing,Line-A,Cutting,CUT,Laser-02,2024-06-01 22:28:00,48
WO-0219,PART-1886,Rotor,Line-C,Cutting,CUT,Laser-01,2024-06-01 22:29:00,40
WO-0087,PART-3868,Manifold,Line-A,Assembly,ASM,Cell-02,2024-06-01 22:51:00,76
WO-0219,PART-1886,Rotor,Line-C,CNC Machining,CNC,CNC-19,2024-06-01 23:15:00,36
WO-0278,PART-3641,Pump Housing,Line-A,CNC Machining,CNC,CNC-12,2024-06-01 23:29:00,53
WO-0261,PART-4327,Pump Housing,Line-C,Surface Prep,PREP,Prep-01,2024-06-02 00:15:00,30
WO-0219,PART-1886,Rotor,Line-C,Surface Prep,PREP,Prep-03,2024-06-02 00:16:00,27
WO-0087,PART-3868,Manifold,Line-A,Quality Check,QC,QA-05,2024-06-02 00:29:00,54
WO-0278,PART-3641,Pump Housing,Line-A,Surface Prep,PREP,Prep-01,2024-06-02 00:41:00,37
WO-0080,PART-6992,Manifold,Line-B,Cutting,CUT,Laser-02,2024-06-02 00:42:00,32
WO-0219,PART-1886,Rotor,Line-C,Assembly,ASM,Cell-04,2024-06-02 01:04:00,113
WO-0261,PART-4327,Pump Housing,Line-C,Assembly,ASM,Cell-04,2024-06-02 01:07:00,96
WO-0241,PART-2426,Rotor,Line-B,Cutting,CUT,Laser-01,2024-06-02 01:11:00,39
WO-0087,PART-3868,Manifold,Line-A,Packaging,PKG,Pack-02,2024-06-02 01:29:00,26
WO-0080,PART-6992,Manifold,Line-B,CNC Machining,CNC,CNC-12,2024-06-02 01:33:00,66
WO-0278,PART-3641,Pump Housing,Line-A,Assembly,ASM,Cell-02,2024-06-02 01:41:00,80
WO-0241,PART-2426,Rotor,Line-B,CNC Machining,CNC,CNC-19,2024-06-02 02:10:00,69
WO-0087,PART-3868,Manifold,Line-A,Shipment,SHIP,Dock-01,2024-06-02 02:29:00,0
WO-0261,PART-4327,Pump Housing,Line-C,Quality Check,QC,QA-02,2024-06-02 02:51:00,28
WO-0080,PART-6992,Manifold,Line-B,Surface Prep,PREP,Prep-03,2024-06-02 02:53:00,31
WO-0219,PART-1886,Rotor,Line-C,Assembly Rework,ASM,Cell-02,2024-06-02 03:01:00,39
WO-0278,PART-3641,Pump Housing,Line-A,Quality Check,QC,QA-05,2024-06-02 03:07:00,43
WO-0261,PART-4327,Pump Housing,Line-C,Packaging,PKG,Pack-01,2024-06-02 03:27:00,10
WO-0241,PART-2426,Rotor,Line-B,Surface Prep,PREP,Prep-01,2024-06-02 03:27:00,25
WO-0080,PART-6992,Manifold,Line-B,Assembly,ASM,Cell-04,2024-06-02 03:43:00,75
WO-0219,PART-1886,Rotor,Line-C,Quality Check,QC,QA-02,2024-06-02 03:51:00,45
WO-0241,PART-2426,Rotor,Line-B,Assembly,ASM,Cell-02,2024-06-02 04:00:00,76
WO-0278,PART-3641,Pump Housing,Line-A,Packaging,PKG,Pack-02,2024-06-02 04:09:00,15
WO-0268,PART-1709,Valve Body,Line-C,Cutting,CUT,Laser-02,2024-06-02 04:38:00,21
WO-0219,PART-1886,Rotor,Line-C,Packaging,PKG,Pack-01,2024-06-02 04:42:00,20
WO-0261,PART-4327,Pump Housing,Line-C,Shipment,SHIP,Dock-01,2024-06-02 05:13:00,0
WO-0268,PART-1709,Valve Body,Line-C,CNC Machining,CNC,CNC-12,2024-06-02 05:17:00,44
WO-0080,PART-6992,Manifold,Line-B,Quality Check,QC,QA-02,2024-06-02 05:21:00,59
WO-0278,PART-3641,Pump Housing,Line-A,Shipment,SHIP,Dock-01,2024-06-02 05:30:00,0
